Temperature [K],Voltage source [V],Resistance [𝛀],Current [A],Electric Field [V/cm],Restivity [𝛀 cm],Current Density [A/cm2]
87.73468604299492,8.46938775510204,118942469.60536249,7.120575e-08,145.27251724017222,120533809.67898485,1.2052428909952606e-06
87.7353492811231,8.673469387755102,118344917.09625292,7.328975e-08,148.77305982427276,119928262.47078253,1.240517095463778e-06
87.73432657754186,8.877551020408163,117644429.76085703,7.546087e-08,152.2736024083733,119218403.26366095,1.2772659106296547e-06
87.73522777193959,9.081632653061224,116965917.04384473,7.764341e-08,155.77414499247382,118530812.67496307,1.3142080230196343e-06
87.7350505709732,9.285714285714285,116234709.27928863,7.988762e-08,159.27468757657437,117789822.0277937,1.3521939742721734e-06
87.73486830703045,9.489795918367347,115490926.93219134,8.216919e-08,162.7752301606749,117036088.56181586,1.390812288422478e-06
87.7346252882958,9.693877551020408,114894758.0947711,8.43718e-08,166.27577274477545,116431943.53754848,1.4280941096817875e-06
87.7350505709732,9.89795918367347,114257657.31673326,8.662841e-08,169.776315328876,115786318.94121101,1.4662899458361544e-06
87.73547079026527,10.10204081632653,113611824.94275042,8.891716e-08,173.2768579129765,115131845.92826237,1.505029790115098e-06
87.73438226939625,10.306122448979592,112991567.49301696,9.121143e-08,176.77740049707705,114503290.00836094,1.5438630670277589e-06
87.73516701733243,10.510204081632654,112313523.70301135,9.357915e-08,180.27794308117763,113816174.62047875,1.5839395734597156e-06
87.73541003569933,10.714285714285715,111733005.43222037,9.589186e-08,183.77848566527814,113227889.5529259,1.6230849695328368e-06
87.7347467976837,10.918367346938776,111125118.18415958,9.825292e-08,187.27902824937868,112611869.3365377,1.6630487474610698e-06
87.7350505709732,11.122448979591837,110603121.45955858,1.005618e-07,190.7795708334792,112082888.77925764,1.7021293161814489e-06
87.73528852653656,11.326530612244898,109910401.04107133,1.030524e-07,194.28011341757974,111380900.40319887,1.7442857142857142e-06
87.7353492811231,11.53061224489796,109317077.06490187,1.054786e-07,197.78065600168028,110779638.3017908,1.7853520649966148e-06
87.73486830703045,11.73469387755102,108695132.32762799,1.079597e-07,201.2811985857808,110149372.5200045,1.8273476641841572e-06
87.73571380842607,11.938775510204081,108054267.18030062,1.104887e-07,204.78174116988134,109499933.1906031,1.8701540284360189e-06
87.73571380842607,12.142857142857142,107102536.18805693,1.13376e-07,208.28228375398186,108535468.9192179,1.919025050778605e-06
87.73468604299492,12.346938775510203,98753152.4903578,1.250283e-07,211.7828263380824,100074378.2012065,2.11625423155044e-06
87.73583531744448,12.551020408163264,31270948.357457586,4.013636e-07,215.28336892218294,31689324.6819656,6.7935612728503726e-06
87.73468604299492,12.755102040816327,4248286.474042471,3.002411e-06,218.7839115062835,4305124.612117138,5.081941435341909e-05
87.73522777193959,12.959183673469388,1572756.9293614577,8.239788e-06,222.28445409038403,1593798.9603203246,0.0001394683141503047
87.73613402693964,13.16326530612245,914925.7367545882,1.438725e-05,225.78499667448455,927166.595668286,0.00024352149627623562
87.73589100906419,13.36734693877551,640015.6152084634,2.088597e-05,229.2855392585851,648578.4313296058,0.0003535201421800948
87.73571380842607,13.571428571428571,492726.37327767495,2.754354e-05,232.78608184268563,499318.5957674963,0.0004662075152335816
87.73559229936629,13.775510204081632,402082.70262193837,3.426039e-05,236.28662442678615,407462.1967565029,0.0005798982735274205
87.73541003569933,13.979591836734695,341012.6477608425,4.099435e-05,239.78716701088672,345575.0811271111,0.0006938786391333785
87.73565305390127,14.183673469387756,297288.2609596184,4.771017e-05,243.28770959498723,301265.7025299186,0.0008075519634394042
87.73577456294045,14.387755102040817,264393.79509390873,5.44179e-05,246.78825217908778,267931.1391792132,0.0009210883547731888
87.73559229936629,14.591836734693878,239020.12339836752,6.104857e-05,250.28879476318832,242217.99125858583,0.001033320412999323
87.73559229936629,14.795918367346939,218798.405752125,6.762352e-05,253.78933734728884,221725.72576047244,0.0011446093432633717
87.7353492811231,15.0,202434.832178825,7.409792e-05,257.28987993138935,205143.22272941648,0.0012541963439404197
