Name,Experiment,Min Temperature [K],Avg Temperature [K],Max Temperature [K],Min Current [A/cm2],Avg Current [A/cm2],Max Current [A/cm2],Min Restivity [𝛀 cm],Avg Restivity [𝛀 cm],Max Restivity [𝛀 cm],Min Electrical Field [V/cm],Avg Electrical Field [V/cm],Max Electrical Field [V/cm],Min Osc Amplitude [V/cm],Avg Osc Amplitude [V/cm],Max Osc Amplitude [V/cm],Min Osc Period [ms],Avg Osc Period [ms],Max Osc Period [ms],Fixed Source
CA12X2,CA12X2_current_from_10e-9_to_100e-9A-20220315151525,113.4430449749111,113.44478284920427,113.45031754958396,6.240898689411276e-07,1.3238269947236037e-06,2.02356412050608e-06,20233529.292950734,64890693.946725436,109942993.34204255,13.09853627946128,86.13647522109989,220.8252319023569,52.6596367003367,116.66758971291868,179.50774974747475,3123,3193.972972972973,3270,False
CA12X2,CA12X2_current_from_1e-6_to_2e-6A-20220317143643,133.52322255011413,133.84469461160157,134.15190121176957,2.16435207073859e-05,2.3744833397423377e-05,2.5846146087460836e-05,13287551.986605193,17316686.62732585,22264745.156603772,314.68666877104374,410.0789873937791,501.522218013468,132.16350126262626,148.86565707070707,173.26975757575758,2379,2415.285714285714,2491,False
CA12X2,CA12X2_current_from_200e-9_to_300e-9A-20220315152513,113.44031779363027,113.44804241892258,113.45139706028124,4.202625380074933e-06,5.0431504560899194e-06,5.883675532104906e-06,20171822.17278178,50192952.22856542,91637810.16752082,85.24458627946129,250.76952264413683,432.4845496632996,299.87480050505053,308.96157060994557,313.82578409090905,2525,2617.1612903225805,2728,False
CA12_01_A,CA12_01_A_current_from_1e-8_to_35e-8A-20220429161303,106.95929924141689,107.2155590732715,107.46884489843403,1.6268453768453767e-06,1.2634356384356386e-05,2.364186739186739e-05,9748888.189535053,51528725.45748538,234212918.57967132,42.788789516129036,412.7151744105934,941.6330241935485,209.97268249999996,487.6009870564515,881.9588617741936,2088,2198.5185185185187,2268,False
CA12_01_A,CA12_01_A_current_from_1e-9_to_30e-8A-20220429165618,95.1356968885573,95.17391040891447,95.21580686862316,1.5321484071484068e-06,1.169628982128982e-05,2.1860431235431232e-05,9853098.63200881,43383855.84541959,598737043.8689231,22.732930403225808,364.92323708918417,917.3540080645162,137.67436387096774,478.6133243817206,894.6210776612903,2066,2385.6,3407,False
CA12_01_A,CA12_01_A_current_from_1e-9_to_30e-8A-20220429163858,99.22884052643981,99.29179777441948,99.35976247141336,1.5321484071484068e-06,1.072827635327635e-05,1.99244042994043e-05,9936711.14831942,47311393.5007981,477226244.1597057,25.05827290322581,350.49195348135737,907.3176935483872,143.11222306451617,469.8801052971138,882.2594206451614,1811,2380.4324324324325,3407,False
CA12_01_A,CA12_01_A_current_from_0.5e-8_to_30e-8A-20220429161610,99.48818722949282,99.5574768160871,99.62993505146382,1.5944703444703444e-06,1.0909439886712613e-05,2.0218207718207718e-05,9952143.429048594,47174271.77542719,474493737.28757167,25.542625161290324,354.3632394250105,934.302185483871,148.54969677419356,473.42927717954166,908.7595603225807,1860,2365.6388888888887,3421,False
CA12_01_A,CA12_01_A_current_from_1e-7_to_10e-7A-20220429152836,112.49587111299398,112.6678688451481,112.84491621270881,8.741258741258741e-06,1.8210955710955714e-05,2.768065268065268e-05,9391428.983633278,27090353.321948856,108464384.6,89.02475645161292,457.2289870967742,948.11525,390.6221524193548,540.7161594292804,599.0663056451613,2169,2180.4,2200,False
CA12_01_A,CA12_01_A_current_from_1e-7_to_10e-7A-20220429152137,116.20344917784487,116.25184324340769,116.30081447958625,1.7482517482517483e-05,2.4766899766899767e-05,3.205128205128205e-05,8998199.703918176,21231317.514382605,37006741.84580646,164.082760483871,517.7510711213519,869.052443548387,482.88825080645165,556.1995732404692,578.7876870967743,2147,2169.4,2183,False
CA12_01_A,CA12_01_A_current_from_1e-7_to_10e-7A-20220429151346,123.13406233765345,123.2778081909653,123.42574295074266,3.277972027972028e-05,4.224941724941725e-05,5.171911421911422e-05,7704874.759021134,14598679.474555647,23898727.177978493,262.9782370967742,610.8977747610514,923.3621774193548,512.0164709677418,533.5910168778802,551.0166040322581,2156,2181.7272727272725,2203,False
CA12_01_A,CA12_01_A_current_from_1e-8_to_20e-8A-20220429153124,107.83848716481936,108.25475238445209,108.68299914169566,1.5701890701890702e-06,8.660849014109884e-06,1.5718078218078218e-05,9700935.119134778,71078454.32226656,214763102.46777543,46.62629766129033,390.42375963797326,967.7124596774195,227.4476064516129,410.5990325879766,553.8573677419354,2176,2226.88,2298,False
CA8_01_A,CA8_01_A_current_from_0.5e-6_to_2e-6A_flipped-20220421110256,127.50140038582057,127.5392943059036,127.5769145957135,3.265306122448979e-05,3.909774436090226e-05,4.5542427497314714e-05,8989856.30863703,14231033.699443733,22453108.650351983,305.2732297649969,551.6652746937176,734.5580289111135,311.39451392187954,335.8989899208019,361.18938630207975,2570,2588.25,2612,False
CA8_01_A,CA8_01_A_square_waveform_value_3.5e-08A-20220422142852,105.8193629846537,105.85223812035547,105.87236310099536,1.4736842105263159e-06,1.4736842105263154e-06,1.4736842105263159e-06,14343491.077322818,230021347.49700928,501955110.52097654,21.137776324475734,338.9788278903295,739.7233207677549,671.06628708748,681.5249899600348,703.0234772308016,4000,4095.2727272727275,4207,True
CA8_01_A,CA8_01_A_at_fixed_current_5e-7A-20220422113350,116.26735321199382,119.52545460143335,122.60391030844642,2.105263157894737e-05,2.1052631578947366e-05,2.105263157894737e-05,10760173.596243901,21771932.36306452,32805390.58692152,226.52997044724003,458.35647080135834,690.6398018299268,404.8610082488602,421.9352315022934,427.23741478131586,2148,2216.576923076923,2328,True
