Name,Thickness [cm],Area [cm2],Experiment,Start Date,End Date,Min Temperature [K],Avg Temperature [K],Max Temperature [K],Min Current [A/cm2],Avg Current [A/cm2],Max Current [A/cm2],Min Restivity [𝛀 cm],Avg Restivity [𝛀 cm],Max Restivity [𝛀 cm],Min Electric Field [V/cm],Avg Electric Field [V/cm],Max Electric Field [V/cm],Oscillation,Oscillation val
CA12_01_A,0.0124,0.01248,CA12_01_A_current_from_1e-7_to_10e-7A-20220429151346,2022-04-29 14:58:15.672133,2022-04-29 15:12:47.730542,122.57052994267335,123.21217565473144,123.667109978741,8.012820512820513e-06,4.3706293706293706e-05,7.939976689976689e-05,7704874.759021134,17560921.9461702,33945232.980645165,196.60558951612904,570.3744825594656,950.1351451612904,True,100
CA12_01_A,0.0124,0.01248,CA12_01_A_current_from_1e-8_to_20e-8A-20220429153124,2022-04-29 15:29:01.776637,2022-04-29 15:31:08.007917,107.82961341071154,108.27302238522802,108.71029093527491,8.012820512820513e-07,8.349124420552992e-06,1.5871859621859624e-05,9700935.119134778,73748088.7927114,214763102.46777543,39.92462209677419,376.5225683377222,967.7124596774195,True,100
CPRO_03_CE2_A1,0.01687,0.01715,CPRO_03_CE2_A1_at_fixed_current_30e-6A-20220414174255,2022-04-14 17:18:03.643441,2022-04-14 17:42:52.083603,76.82410814930458,81.76512966086746,90.019745481553,0.0017492711370262393,0.001749271137026239,0.0017492711370262393,33025.92617468879,101387.90277435684,157953.7216383126,57.7712994309425,177.354931966805,276.30388624777714,False,0
CPRO_03_CE2_A1,0.01687,0.01715,CPRO_03_CE2_A1_at_fixed_current_30e-6A-20220414171310,2022-04-14 15:47:32.155506,2022-04-14 17:10:32.696195,95.06505075884172,125.04673007456842,155.04627230829533,0.0017492711370262393,0.0017492711370262388,0.0017492711370262393,187.0726000650069,3888.0782133551975,18798.26804536653,0.3272406998221695,6.801302997122795,32.88326771784233,False,0
CPRO_03_CE2_A1,0.01687,0.01715,CPRO_03_CE2_A1_at_fixed_current_30e-6A-20220414183834,2022-04-14 18:21:55.124327,2022-04-14 18:38:18.536291,76.85511963091348,122.95963405804964,184.01151879543113,0.0017492711370262393,0.0017492711370262386,0.0017492711370262393,50.14855310972798,18895.03872825954,162507.49537574916,0.08772341651847461,33.052545880337384,284.26967121122306,False,0
CPRO_03_CE2_A1,0.01687,0.01715,CPRO_03_CE2_A1_at_fixed_current_30e-6A-20220414185143,2022-04-14 18:38:53.917022,2022-04-14 18:50:20.917132,188.03538945574246,218.08982201286105,242.69327225537668,0.0017492711370262393,0.0017492711370262393,0.0017492711370262393,19.78543913324112,25.970890604736702,44.124997568003685,0.034610097609168146,0.04543012933773185,0.07718658466706185,False,0
CPRO_03_CE2_A1,0.01687,0.01715,CPRO_03_CE2_A1_at_fixed_current_30e-6A-20220414154149,2022-04-14 14:05:02.636170,2022-04-14 15:40:49.708226,159.92135780725926,224.7185748630831,295.3293432232343,0.0017492711370262393,0.0017492711370262397,0.0017492711370262393,8.237099280221301,27.18214844220378,136.27288862102353,0.014408920023710732,0.047548947712309816,0.23837823082394788,False,0
CPRO_03_CE2_A1,0.01687,0.01715,CPRO_03_CE2_A1_at_fixed_current_30e-6A-20220414191000,2022-04-14 18:52:25.542184,2022-04-14 19:09:32.625918,249.10523046739422,266.2530353410163,277.7472312194811,0.0017492711370262393,0.0017492711370262386,0.0017492711370262393,16.329782041954815,18.340449041552557,22.494656192946056,0.028565216399920962,0.03208241814848844,0.039349252815649084,False,0
CPRO_03_CE2_A1,0.01687,0.01715,CPRO_03_CE2_A1_at_fixed_current_30e-6A-20220414154149-joined,2022-04-14 14:05:02.636170,2022-04-14 17:10:32.696195,95.06505075884172,194.58522643864845,295.3293432232343,0.0017492711370262393,0.0017492711370262388,0.0017492711370262393,8.237099280221301,1194.429795974039,18798.26804536653,0.014408920023710732,2.0893815673015266,32.88326771784233,False,0
CA8_01_A,0.0162083,0.023749999999999997,CA8_01_A_current_from_1e-6_to_5e-6A-20220421105431,2022-04-21 10:53:40.694765,2022-04-21 10:54:23.369718,129.88953101694545,129.99735110614657,130.13583539486586,4.210526315789474e-05,0.00012459720730397423,0.00020708915145005373,7079574.6772744,8157056.24172823,16214755.898707384,382.50291579005824,979.7562891499153,1584.878488181981,False,0
